,original_title,year_of_release,genres,summary,actors,Movie_COL
2226,Sarphira,1992,Action,Judge B.K. Sinha and his adopted son  Rajkishan are law-abider but the youngest in their house-hold  Suresh prove to be the opposite - is hot-tempered and is into shady activities. His ...                    ,Sanjay Dutt,Sarphira Action Judge B.K. Sinha and his adopted son  Rajkishan are law-abider but the youngest in their house-hold  Suresh prove to be the opposite - is hot-tempered and is into shady activities. His ...                     Sanjay Dutt
2227,Zindagi Ek Juaa,1992,Action,Harikishan saves the life of his employer  Jagjit Singh alias JJ  only to receive a huge wage increase. All excited; Harikishan agrees to change his name to Harry and successfully carry out...                    ,Anil Kapoor,Zindagi Ek Juaa Action Harikishan saves the life of his employer  Jagjit Singh alias JJ  only to receive a huge wage increase. All excited; Harikishan agrees to change his name to Harry and successfully carry out...                     Anil Kapoor
2228,Adharm,1992,Action Crime Drama,"Mr. Verma is the proud owner of a spacious bunglow named ""Dharam Niwas"". He is critical of his second son  Jaggan Verma (Kiran Kumar) due to his drinking habits  people of lose or no morals...                    ",Shatrughan Sinha,"Adharm Action Crime Drama Mr. Verma is the proud owner of a spacious bunglow named ""Dharam Niwas"". He is critical of his second son  Jaggan Verma (Kiran Kumar) due to his drinking habits  people of lose or no morals...                     Shatrughan Sinha"
2229,Police Officer,1992,Action,Twin brothers Jai  a cop  and Kishen  a conman. After Jai is killed  Kishen takes his place to take revenge on his killers.,Todd Howard,Police Officer Action Twin brothers Jai  a cop  and Kishen  a conman. After Jai is killed  Kishen takes his place to take revenge on his killers. Todd Howard
2230,Humlaa,1992,Action Drama,Devkishan Sharma is a school-teacher in a small town in India  where he lives with his wife  and two sons  Bhawaniprasad and Shivprasad. When he finds out that Bhawani has fallen into bad ...                    ,Ashok Kumar,Humlaa Action Drama Devkishan Sharma is a school-teacher in a small town in India  where he lives with his wife  and two sons  Bhawaniprasad and Shivprasad. When he finds out that Bhawani has fallen into bad ...                     Ashok Kumar
2231,Prem Deewane,1992,Action Adventure Drama,Radha (Pooja Bhatt) and Manohar (Vivek Mushran) love each other and want to get married  but Radha's dad (Ashok Saraf) does not approve of their marriage as Manohar comes from a poor family...                    ,Pooja Bhatt,Prem Deewane Action Adventure Drama Radha (Pooja Bhatt) and Manohar (Vivek Mushran) love each other and want to get married  but Radha's dad (Ashok Saraf) does not approve of their marriage as Manohar comes from a poor family...                     Pooja Bhatt
2232,Tyagi,1992,Drama,Shankar  as the eldest son of Choudhry Gangaprasad Dayal  has always made sacrifices for his two siblings  Shakti and Prem. He financed them by mortgaging his valuables and property  much ...                    ,Jaya Prada,Tyagi Drama Shankar  as the eldest son of Choudhry Gangaprasad Dayal  has always made sacrifices for his two siblings  Shakti and Prem. He financed them by mortgaging his valuables and property  much ...                     Jaya Prada
2233,Laat Saab,1992,Action Crime Drama,Vijay follows Anju to Bombay from Shimla  where he gets the news from her father that she died three years ago.,Ishrat Ali,Laat Saab Action Crime Drama Vijay follows Anju to Bombay from Shimla  where he gets the news from her father that she died three years ago. Ishrat Ali
2234,Kasak,1992,Drama Romance,Divya loved Suraj who is now no more she marries Vijay for the sake of her family and plans to divorce him soon but will Vijay agree to her terms.,Aparajita,Kasak Drama Romance Divya loved Suraj who is now no more she marries Vijay for the sake of her family and plans to divorce him soon but will Vijay agree to her terms. Aparajita
2235,Mr. Bond,1992,Action Adventure Thriller,Mr. Bond is an honest  dedicated and capable police officer in Bombay's police force. He faces the toughest case of a lifetime when he must rescue some small children abducted and held as hostages by the underworld don Dragon.,Akshay Kumar,Mr. Bond Action Adventure Thriller Mr. Bond is an honest  dedicated and capable police officer in Bombay's police force. He faces the toughest case of a lifetime when he must rescue some small children abducted and held as hostages by the underworld don Dragon. Akshay Kumar
2236,Saatwan Aasman,1992,Drama,Two runaway people who meet each other and enjoy every movement of their life because they both know that death can call them anytime as one has got death sentence and other is suffering from a fatal disease which is getting worse.,Vivek Mushran,Saatwan Aasman Drama Two runaway people who meet each other and enjoy every movement of their life because they both know that death can call them anytime as one has got death sentence and other is suffering from a fatal disease which is getting worse. Vivek Mushran
2237,Jaan Se Pyaara,1992,Action Crime Drama,A man tries to lead a double life as a Cop and at the same time look after his retarded twin brother and devoted mother. But then his dangerous police work comes in the way of his family life causing tragedy.,Govinda,Jaan Se Pyaara Action Crime Drama A man tries to lead a double life as a Cop and at the same time look after his retarded twin brother and devoted mother. But then his dangerous police work comes in the way of his family life causing tragedy. Govinda
2238,Mashooq,1992,Drama Romance,Suman Rai informs her wealthy brothers  Kedarnath and Sandeep of her marriage with middle-class  Shankar Kumar  the one her brothers rejected. An angry Sandeep then picks up a gun and ...                    ,Ayub Khan,Mashooq Drama Romance Suman Rai informs her wealthy brothers  Kedarnath and Sandeep of her marriage with middle-class  Shankar Kumar  the one her brothers rejected. An angry Sandeep then picks up a gun and ...                     Ayub Khan
2239,Zulm Ki Hukumat,1992,Action Crime Drama,When a gangster falls prey to gang war launched by his rival  his estranged younger brother joins the police to find his killer.,Dharmendra,Zulm Ki Hukumat Action Crime Drama When a gangster falls prey to gang war launched by his rival  his estranged younger brother joins the police to find his killer. Dharmendra
2240,Chamatkar,1992,Comedy Drama Fantasy,When Sunder loses everything  he seeks refuge in a graveyard  where he befriends a ghost.,Naseeruddin Shah,Chamatkar Comedy Drama Fantasy When Sunder loses everything  he seeks refuge in a graveyard  where he befriends a ghost. Naseeruddin Shah
2241,Jo Jeeta Wohi Sikandar,1992,Comedy Drama Romance,A rich brat and a poor chap try to woo a girl  with their rivalry culminating in the most prestigious college event - the marathon cycle race.,Aamir Khan,Jo Jeeta Wohi Sikandar Comedy Drama Romance A rich brat and a poor chap try to woo a girl  with their rivalry culminating in the most prestigious college event - the marathon cycle race. Aamir Khan
2242,Nishchaiy,1992,Action Drama Romance,'Nishchaiy' is the story of two brothers  Ravi and Rohan Yadav separated due to unforeseen circumstances created by Ravi's employer Manohar Singh who suspects Ravi of having an affair with ...                    ,Vinod Khanna,Nishchaiy Action Drama Romance 'Nishchaiy' is the story of two brothers  Ravi and Rohan Yadav separated due to unforeseen circumstances created by Ravi's employer Manohar Singh who suspects Ravi of having an affair with ...                     Vinod Khanna
2243,Parda Hai Parda,1992,Romance,Four friends try to woo a girl next door.,Laxmikant Berde,Parda Hai Parda Romance Four friends try to woo a girl next door. Laxmikant Berde
2244,Bekhudi,1992,Action Crime Drama,The parents (Tanuja and Vijayendra Ghatge) of Radhika (Kajol) have arranged her marriage to Vicky (Ajay Mankotia) in Canada. She insists on going there to meet him in person in order to ...                    ,Kamal Sadanah,Bekhudi Action Crime Drama The parents (Tanuja and Vijayendra Ghatge) of Radhika (Kajol) have arranged her marriage to Vicky (Ajay Mankotia) in Canada. She insists on going there to meet him in person in order to ...                     Kamal Sadanah
2245,Police Aur Mujrim,1992,Action Musical Romance,Bombay's Police Commissioner Veer Bahadur Singh  lives with his wife  Sharda  and daughter  Jyoti. When DSP Vishal Khanna arrests two notorious robbers and pimps  Shera and Jaaga  and holds...                    ,Raaj Kumar,Police Aur Mujrim Action Musical Romance Bombay's Police Commissioner Veer Bahadur Singh  lives with his wife  Sharda  and daughter  Jyoti. When DSP Vishal Khanna arrests two notorious robbers and pimps  Shera and Jaaga  and holds...                     Raaj Kumar
2246,Sapne Saajan Ke,1992,Drama Romance,Shalini wants her daughter  Jyoti  to get married with son of a wealthy man  Gulu. But Jyoti doesn't like Gulu. She meets Deepak and both fall in love. Shalini approves this match of Jyoti ...                    ,Jackie Shroff,Sapne Saajan Ke Drama Romance Shalini wants her daughter  Jyoti  to get married with son of a wealthy man  Gulu. But Jyoti doesn't like Gulu. She meets Deepak and both fall in love. Shalini approves this match of Jyoti ...                     Jackie Shroff
2247,Ek Ladka Ek Ladki,1992,Comedy Romance,A daughter returns to her deceased father's estate. She discovers that her uncle  who looks after the estate  has been embezzling her father's money.,Salman Khan,Ek Ladka Ek Ladki Comedy Romance A daughter returns to her deceased father's estate. She discovers that her uncle  who looks after the estate  has been embezzling her father's money. Salman Khan
2248,Radha Ka Sangam,1992,Action Drama Romance,Add a Plot »,Abhimanyyu Abhimanyu,Radha Ka Sangam Action Drama Romance Add a Plot » Abhimanyyu Abhimanyu
2249,Aaj Ka Goonda Raaj,1992,Action Thriller,Raja though being righteous  honest  tough -a daredevil and educated was unemployed young man.With no work on hand he squanders his time with his four friends. This naturally upsets his ...                    ,Chiranjeevi,Aaj Ka Goonda Raaj Action Thriller Raja though being righteous  honest  tough -a daredevil and educated was unemployed young man.With no work on hand he squanders his time with his four friends. This naturally upsets his ...                     Chiranjeevi
2250,Deedar,1992,Drama Romance,A young couple in love want to get married but their plans are thwarted by the revelation that the young man's businessman father had framed the young woman's father for a crime he did not commit.,Akshay Kumar,Deedar Drama Romance A young couple in love want to get married but their plans are thwarted by the revelation that the young man's businessman father had framed the young woman's father for a crime he did not commit. Akshay Kumar
2251,Bol Radha Bol,1992,Action Comedy Drama,Kishan Malhotra finds his life turned upside down  when he returns home one day to find that his place has been taken over by a look-alike imposter. When he attempts to assert his identity ...                    ,Rishi Kapoor,Bol Radha Bol Action Comedy Drama Kishan Malhotra finds his life turned upside down  when he returns home one day to find that his place has been taken over by a look-alike imposter. When he attempts to assert his identity ...                     Rishi Kapoor
2252,Jeena Marna Tere Sang,1992,Action Romance,Amar is the son of a millionaire. He decides to avenge on Asha for slapping him in public  but later falls for her. He also discovers the truth about his father.,Sanjay Dutt,Jeena Marna Tere Sang Action Romance Amar is the son of a millionaire. He decides to avenge on Asha for slapping him in public  but later falls for her. He also discovers the truth about his father. Sanjay Dutt
2253,Humshakal,1992,Action Comedy Drama,Commissioner Kapoor makes Dadu Kaliya take the place of his lookalike inspector Vinod who was killed by Devi Dutt but how long will he hide the secret of Vinod's death from his family.,Shammi Kapoor,Humshakal Action Comedy Drama Commissioner Kapoor makes Dadu Kaliya take the place of his lookalike inspector Vinod who was killed by Devi Dutt but how long will he hide the secret of Vinod's death from his family. Shammi Kapoor
2254,Angaar,1992,Action Crime Drama,An angry slum-dweller is arrested  found guilty  and institutionalized.,Jackie Shroff,Angaar Action Crime Drama An angry slum-dweller is arrested  found guilty  and institutionalized. Jackie Shroff
2255,Bewaffa Se Waffa,1992,Romance,Nagma's story takes viewer into past of Rukhsar & Nagma's friendly competition  Rukshar's Meeting with Aslam. Their marriage problems start with the discovery of Rukhsar's inability to give...                    ,Vivek Mushran,Bewaffa Se Waffa Romance Nagma's story takes viewer into past of Rukhsar & Nagma's friendly competition  Rukshar's Meeting with Aslam. Their marriage problems start with the discovery of Rukhsar's inability to give...                     Vivek Mushran
2256,Balwaan,1992,Action Adventure,Arjun Singh lives with his mother and sister; he takes it upon himself to fight injustice. This gets notice by the police commissioner who decides to enlist Arjun into the police force and ...                    ,Sunil Shetty,Balwaan Action Adventure Arjun Singh lives with his mother and sister; he takes it upon himself to fight injustice. This gets notice by the police commissioner who decides to enlist Arjun into the police force and ...                     Sunil Shetty
2257,Khel,1992,Comedy Drama Romance,Widowed and elderly industrialist Sulakshana Devi allows her business and estate to be taken care of by her nephew  Balwant. Shortly after her return from the overseas her only son  Ravi ...                    ,Aparajita,Khel Comedy Drama Romance Widowed and elderly industrialist Sulakshana Devi allows her business and estate to be taken care of by her nephew  Balwant. Shortly after her return from the overseas her only son  Ravi ...                     Aparajita
2258,Dilwale Kabhi Na Hare,1992,Romance,Rahul and Vijay are close friends  and have been so for quite sometime. Rahul meets with attractive Anjali  and both fall in love. Vijay also meets with Anjali and he  too  falls in love ...                    ,Rahul Roy,Dilwale Kabhi Na Hare Romance Rahul and Vijay are close friends  and have been so for quite sometime. Rahul meets with attractive Anjali  and both fall in love. Vijay also meets with Anjali and he  too  falls in love ...                     Rahul Roy
2259,Junoon,1992,Horror Thriller,Tells the story of Vikram (Rahul Roy)  who after nearly getting killed by a cursed tiger starts to transform into a tiger himself every fullmoon and hunts for prey.,Rahul Roy,Junoon Horror Thriller Tells the story of Vikram (Rahul Roy)  who after nearly getting killed by a cursed tiger starts to transform into a tiger himself every fullmoon and hunts for prey. Rahul Roy
2260,Drohi,1992,Action Crime Romance,Whilst in hiding  a ruthless gangster falls in love with a young woman.,Nagarjuna Akkineni,Drohi Action Crime Romance Whilst in hiding  a ruthless gangster falls in love with a young woman. Nagarjuna Akkineni
2261,Yalgaar,1992,Action Drama Thriller,Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons ...                    ,Feroz Khan,Yalgaar Action Drama Thriller Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons ...                     Feroz Khan
2262,Jigar,1992,Action Crime Drama,An engaging action-sport film  where a man avenges his sister's humiliation by participating in a deadly kung-fu tournament.,Ajay Devgn,Jigar Action Crime Drama An engaging action-sport film  where a man avenges his sister's humiliation by participating in a deadly kung-fu tournament. Ajay Devgn
2263,Suraj Ka Satvan Ghoda,1992,Drama Romance,On a lazy afternoon  a man shares his memories of a storyteller friend who once narrated a convoluted love story with intertwined plots. As these plots unravel  reality mixes with fiction.,Rajit Kapoor,Suraj Ka Satvan Ghoda Drama Romance On a lazy afternoon  a man shares his memories of a storyteller friend who once narrated a convoluted love story with intertwined plots. As these plots unravel  reality mixes with fiction. Rajit Kapoor
2264,Isi Ka Naam Zindagi,1992,Action Comedy Drama,During the British rule in rural India; a wealthy family spent generation from generation in trying to take over a plot of land from a man named Bansiram. But Bansiram will not give up this...                    ,Aamir Khan,Isi Ka Naam Zindagi Action Comedy Drama During the British rule in rural India; a wealthy family spent generation from generation in trying to take over a plot of land from a man named Bansiram. But Bansiram will not give up this...                     Aamir Khan
2265,Muskurahat,1992,Comedy Drama,Gopichand Verma is a retired Judge of the Supreme Court of India. He re-locates to scenic Ooty and decides to live there in a palatial home. He has a cook/servant in Badriprasad Chaurasia. ...                    ,Jay Mehta,Muskurahat Comedy Drama Gopichand Verma is a retired Judge of the Supreme Court of India. He re-locates to scenic Ooty and decides to live there in a palatial home. He has a cook/servant in Badriprasad Chaurasia. ...                     Jay Mehta
2266,Raju Ban Gaya Gentleman,1992,Comedy Musical Romance,A young man (Shahrukh Khan) romances a beautiful woman while dreaming of success as an engineer.,Shah Rukh Khan,Raju Ban Gaya Gentleman Comedy Musical Romance A young man (Shahrukh Khan) romances a beautiful woman while dreaming of success as an engineer. Shah Rukh Khan
2267,Ghar Jamai,1992,Comedy Family,Anil is an ethical man who lives by his principles. This impresses Dwarka  a millionaire  who wants to make him his son-in-law. However  after marriage  he insists that Anil move in with his in-laws.,Rita Bhaduri,Ghar Jamai Comedy Family Anil is an ethical man who lives by his principles. This impresses Dwarka  a millionaire  who wants to make him his son-in-law. However  after marriage  he insists that Anil move in with his in-laws. Rita Bhaduri
2268,Jaanam,1992,Romance,Paradise Builders is owned by Dhanraj  who lives a very wealthy lifestyle with his wife  Radha; son  Rajan; and daughter  Anjali. His aim to take possession of the nearby village  which is ...                    ,Rahul Roy,Jaanam Romance Paradise Builders is owned by Dhanraj  who lives a very wealthy lifestyle with his wife  Radha; son  Rajan; and daughter  Anjali. His aim to take possession of the nearby village  which is ...                     Rahul Roy
2269,Khule-Aam,1992,Action,Watch the full movie  Khule-Aam  only on Eros Now. Khule-Aam is a 1992 Indian Hindi film  directed by Arun Dutt. The film stars Dharmenda  Shammi Kapoor  Neelam  Chunky Pandey  Moushumi ...                    ,Dharmendra,Khule-Aam Action Watch the full movie  Khule-Aam  only on Eros Now. Khule-Aam is a 1992 Indian Hindi film  directed by Arun Dutt. The film stars Dharmenda  Shammi Kapoor  Neelam  Chunky Pandey  Moushumi ...                     Dharmendra
2270,Sangeet,1992,Drama Romance,A blind  orphan girl aspires to be a successful singer. With the help of another street performer  she sets out to make a mark and in the process discovers her real parents.,Madhuri Dixit,Sangeet Drama Romance A blind  orphan girl aspires to be a successful singer. With the help of another street performer  she sets out to make a mark and in the process discovers her real parents. Madhuri Dixit
2271,Umar 55 Ki Dil Bachpan Ka,1992,Comedy Drama Romance,Giving in to the demands of his children  namely: Govindram  Rohit  Aarti  and his daughter-in-law  Sunita  Dhaniram (Kader Khan) distributes his wealth between the four of them. Rohit ...                    ,Akshay Anand,Umar 55 Ki Dil Bachpan Ka Comedy Drama Romance Giving in to the demands of his children  namely: Govindram  Rohit  Aarti  and his daughter-in-law  Sunita  Dhaniram (Kader Khan) distributes his wealth between the four of them. Rohit ...                     Akshay Anand
2272,Baaz,1992,Action Mystery Thriller,Deva is a photographer by profession. His life changes when one of his models is killed the killers also kill Deva's family asking for a diary but Deva is unaware of it. But what does that diary contain and who is behind all these killings?,Govinda,Baaz Action Mystery Thriller Deva is a photographer by profession. His life changes when one of his models is killed the killers also kill Deva's family asking for a diary but Deva is unaware of it. But what does that diary contain and who is behind all these killings? Govinda
2273,Roja,1992,Drama Romance Thriller,A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir  where all is rosy - until he gets kidnapped by militants.,Arvind Swamy,Roja Drama Romance Thriller A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir  where all is rosy - until he gets kidnapped by militants. Arvind Swamy
2274,Antarnaad,1991,Drama,The story of Antarnaad is based on the work of Pandurang Shastri which over the last 36 years is revolutionizing the Indian countryside by transforming the lives of people in a way that can...                    ,Girish Karnad,Antarnaad Drama The story of Antarnaad is based on the work of Pandurang Shastri which over the last 36 years is revolutionizing the Indian countryside by transforming the lives of people in a way that can...                     Girish Karnad
2275,Ajooba,1991,Action Adventure Comedy,The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince  who has survived his machinations  returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'.,Amitabh Bachchan,Ajooba Action Adventure Comedy The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince  who has survived his machinations  returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'. Amitabh Bachchan
2276,Akayla,1991,Action Drama Thriller,Inspector Vijay Verma is a very lonely cop whose only family is a younger brother Ajay Verma who is studying abroad. He also has two good friends Shekhar and Seema. One day when he arrests ...                    ,Amitabh Bachchan,Akayla Action Drama Thriller Inspector Vijay Verma is a very lonely cop whose only family is a younger brother Ajay Verma who is studying abroad. He also has two good friends Shekhar and Seema. One day when he arrests ...                     Amitabh Bachchan
2277,Aakhri Cheekh,1991,Horror,A evil man kills young women after having romantic affair with them. By knowing it  four friends get him arrested and electrocuted for death sentence. But his soul returns and starts taking revenge on them and their family one by one.,Vijayendra Ghatge,Aakhri Cheekh Horror A evil man kills young women after having romantic affair with them. By knowing it  four friends get him arrested and electrocuted for death sentence. But his soul returns and starts taking revenge on them and their family one by one. Vijayendra Ghatge
2278,Aag Laga Do Sawan Ko,1991,Drama Romance,Sargam as a Dancer 1st lead heroine in this movie Trangle love story,Reema Lagoo,Aag Laga Do Sawan Ko Drama Romance Sargam as a Dancer 1st lead heroine in this movie Trangle love story Reema Lagoo
2279,Afsana Pyar Ka,1991,Drama Romance,Animosity has existed between the families of Raj and Nikita's respective fathers. But their children have grown up without any knowledge of this animosity. They meet in college  and after ...                    ,Aamir Khan,Afsana Pyar Ka Drama Romance Animosity has existed between the families of Raj and Nikita's respective fathers. But their children have grown up without any knowledge of this animosity. They meet in college  and after ...                     Aamir Khan
2280,Ayee Milan Ki Raat,1991,Romance,A Tantrik converts two lovers into a snake  one at sunset and one at sunrise.,Avinash Wadhavan,Ayee Milan Ki Raat Romance A Tantrik converts two lovers into a snake  one at sunset and one at sunrise. Avinash Wadhavan
2281,Benaam Badsha,1991,Action Crime Drama,Abandoned as a baby in a garbage bin by his biological parents; a boy faces the harsh realities of life and years later grows up to be a young man as a paid assassin  blackmailer  kidnapper...                    ,Rakesh Bedi,Benaam Badsha Action Crime Drama Abandoned as a baby in a garbage bin by his biological parents; a boy faces the harsh realities of life and years later grows up to be a young man as a paid assassin  blackmailer  kidnapper...                     Rakesh Bedi
2282,Aaj Ka Samson,1991,Action Romance,Two children  Samson and Reshma Singh  grow up in Central India  and would like to remain together forever. However  Reshma's uncle  Mangha  has other plans for her  he assaults Samson  ...                    ,Hemant Birje,Aaj Ka Samson Action Romance Two children  Samson and Reshma Singh  grow up in Central India  and would like to remain together forever. However  Reshma's uncle  Mangha  has other plans for her  he assaults Samson  ...                     Hemant Birje
2283,Dancer,1991,Action Drama Musical,A popular singer-dancer finds out that his current sponsor is the one who murdered his father and framed his mother for the murder.,Akshay Kumar,Dancer Action Drama Musical A popular singer-dancer finds out that his current sponsor is the one who murdered his father and framed his mother for the murder. Akshay Kumar
2284,Deshwasi,1991,Action Crime Drama,Unhappy with India's independence from the British  Raja Shamsher Singh and his goons  initially attempt to put their candidate  Shishupal  up for elections. But when opposed by Sangram ...                    ,Tom Alter,Deshwasi Action Crime Drama Unhappy with India's independence from the British  Raja Shamsher Singh and his goons  initially attempt to put their candidate  Shishupal  up for elections. But when opposed by Sangram ...                     Tom Alter
2285,100 Days,1991,Horror Romance Thriller,A young  clairvoyant woman has a vision of a murder and sets out to uncover the truth before the killer finds her.,Jackie Shroff,100 Days Horror Romance Thriller A young  clairvoyant woman has a vision of a murder and sets out to uncover the truth before the killer finds her. Jackie Shroff
2286,Banjaran,1991,Drama Romance,The only daughter of the Chief of a band of gypsies  Reshma is strangely drawn to the only son of a rich and wealthy man  Kunverji. Strangely enough also  she finds out that Kunverji has ...                    ,Rishi Kapoor,Banjaran Drama Romance The only daughter of the Chief of a band of gypsies  Reshma is strangely drawn to the only son of a rich and wealthy man  Kunverji. Strangely enough also  she finds out that Kunverji has ...                     Rishi Kapoor
2287,Dushman Devta,1991,Action,Shiva is an escaped convict who is looking for a suitable place to hide from the police. His adventures lead him to end up in a rural region which happens to be the main target of bandits ...                    ,Dharmendra,Dushman Devta Action Shiva is an escaped convict who is looking for a suitable place to hide from the police. His adventures lead him to end up in a rural region which happens to be the main target of bandits ...                     Dharmendra
2288,Bhabhi,1991,Comedy Drama Family,Sita lives a middle-class lifestyle with her retired and widowed schoolmaster dad  Ramdas. One day she is molested by Prakash and slaps him. A few days later  wealthy Ghanshyamdas  a former...                    ,Bhanupriya,Bhabhi Comedy Drama Family Sita lives a middle-class lifestyle with her retired and widowed schoolmaster dad  Ramdas. One day she is molested by Prakash and slaps him. A few days later  wealthy Ghanshyamdas  a former...                     Bhanupriya
2289,Ek Ghar,1991,Drama,Rajanna and Geeta arrive in the city with the hope of building a cozy little home. When they find their dream house  their happiness knows no bounds. Things are fine till  one day  a loud workshop opens up next door.,Naseeruddin Shah,Ek Ghar Drama Rajanna and Geeta arrive in the city with the hope of building a cozy little home. When they find their dream house  their happiness knows no bounds. Things are fine till  one day  a loud workshop opens up next door. Naseeruddin Shah
2290,Dil Hai Ki Manta Nahin,1991,Adventure Comedy Drama,Runaway heiress in search of her beloved falls in love with another man on the way.,Aamir Khan,Dil Hai Ki Manta Nahin Adventure Comedy Drama Runaway heiress in search of her beloved falls in love with another man on the way. Aamir Khan
2291,Farishtay,1991,Action Comedy Drama,Raja Jaichand rules as a dictator in a small Indian town and kills people for his will.Veeru and Dheeru two kind hearten con men live with Gayatri and take her as sister.They get her ...                    ,Dharmendra,Farishtay Action Comedy Drama Raja Jaichand rules as a dictator in a small Indian town and kills people for his will.Veeru and Dheeru two kind hearten con men live with Gayatri and take her as sister.They get her ...                     Dharmendra
2292,Fateh,1991,Action,Major Anand aided by 3 other military commandos  Karan  Salim & Ranvir undertakes a mission to bring to justice an arms dealer and drugs-smuggler  Munna. Things goes out of hand when Munna ...                    ,Shabana Azmi,Fateh Action Major Anand aided by 3 other military commandos  Karan  Salim & Ranvir undertakes a mission to bring to justice an arms dealer and drugs-smuggler  Munna. Things goes out of hand when Munna ...                     Shabana Azmi
2293,Begunaah,1991,Action Crime Drama,Widower Jeevanlal gets arrested for assaulting a Pharmacist as he is unable to afford medicines to treat his ill daughter  Guddu. Subsequently jailed  his repeated and vain attempts to ...                    ,Rajesh Khanna,Begunaah Action Crime Drama Widower Jeevanlal gets arrested for assaulting a Pharmacist as he is unable to afford medicines to treat his ill daughter  Guddu. Subsequently jailed  his repeated and vain attempts to ...                     Rajesh Khanna
2294,Do Matwale,1991,Action,Amar comes from the village to the city in order to seek medical treatment for his mother; as soon as he reaches the city he is robbed of his money. Fortunately for him Ajay manages to come...                    ,Sanjay Dutt,Do Matwale Action Amar comes from the village to the city in order to seek medical treatment for his mother; as soon as he reaches the city he is robbed of his money. Fortunately for him Ajay manages to come...                     Sanjay Dutt
2295,Diksha,1991,Drama,Circa British Rule in India  a man vows to make his only surviving son  Narayan  alias Nani  a Brahmachari to atone for the deaths of five of his children. He takes this child to a remote ...                    ,Sulabha Arya,Diksha Drama Circa British Rule in India  a man vows to make his only surviving son  Narayan  alias Nani  a Brahmachari to atone for the deaths of five of his children. He takes this child to a remote ...                     Sulabha Arya
2296,Dharam Sankat,1991,Action Drama,Dacait Jagira (Amrish Puri) has terrorized the entire country-side with his raids and cruelty. On one such encounter he kills Gopal's mother  leaving him an orphan. Durga (Rohini Hattangadi...                    ,Vinod Khanna,Dharam Sankat Action Drama Dacait Jagira (Amrish Puri) has terrorized the entire country-side with his raids and cruelty. On one such encounter he kills Gopal's mother  leaving him an orphan. Durga (Rohini Hattangadi...                     Vinod Khanna
2297,First Love Letter,1991,Romance,Wealthy and orthodox Thakur Ajit Singh is quite apprehensive about his daughter's Radha marriage when he find out that she is in love with a poor man named Shyam - then all restrictions are...                    ,Vivek Mushran,First Love Letter Romance Wealthy and orthodox Thakur Ajit Singh is quite apprehensive about his daughter's Radha marriage when he find out that she is in love with a poor man named Shyam - then all restrictions are...                     Vivek Mushran
2298,Hum,1991,Action Crime Drama,A wealthy and cruel businessman  Bhaktawar lord over a dockyard making all the workers his slaves. All the workers will work but no one will entail a salary  the union leader Tiger opposes ...                    ,Amitabh Bachchan,Hum Action Crime Drama A wealthy and cruel businessman  Bhaktawar lord over a dockyard making all the workers his slaves. All the workers will work but no one will entail a salary  the union leader Tiger opposes ...                     Amitabh Bachchan
2299,Henna,1991,Drama Musical Romance,Orphan Chander Prakash is employed as a menial laborer in a timber mart; he meets with wealthy Chandni only to fall in love with her and the marriage is arranged with the blessings of ...                    ,Rishi Kapoor,Henna Drama Musical Romance Orphan Chander Prakash is employed as a menial laborer in a timber mart; he meets with wealthy Chandni only to fall in love with her and the marriage is arranged with the blessings of ...                     Rishi Kapoor
2300,House No. 13,1991,Horror,Add a Plot »,Salim Fateh,House No. 13 Horror Add a Plot » Salim Fateh
2301,Hafta Bandh,1991,Action,Add a Plot »,Jackie Shroff,Hafta Bandh Action Add a Plot » Jackie Shroff
2302,Jeena Teri Gali Mein,1991,Romance,A musical love story of two couples who attend the same college and have to face many reality as they go through a road that is called life. But at last they were being convince on the ...                    ,Kavita Kapoor,Jeena Teri Gali Mein Romance A musical love story of two couples who attend the same college and have to face many reality as they go through a road that is called life. But at last they were being convince on the ...                     Kavita Kapoor
2303,Ghar Parivaar,1991,Drama,Shankar  a country fellow  lives with his widowed step mother and two step brothers Balwant and Birju. Shankar loves his step mother and brothers as his own. After Shankar's marriage  his ...                    ,Rajesh Khanna,Ghar Parivaar Drama Shankar  a country fellow  lives with his widowed step mother and two step brothers Balwant and Birju. Shankar loves his step mother and brothers as his own. After Shankar's marriage  his ...                     Rajesh Khanna
2304,Izzat,1991,Action Drama,Follows Police Officer Siddarth whose aim is to live with honesty and respect as taught by his constable father.,Jackie Shroff,Izzat Action Drama Follows Police Officer Siddarth whose aim is to live with honesty and respect as taught by his constable father. Jackie Shroff
