,original_title,year_of_release,genres,summary,actors,Movie_COL
999,Tashan,2008,Action Drama Romance,What happens when you throw 2 guys who hate each other together? Add for good measure a beauty and a gangster and the trouble is no one can be trusted.,Akshay Kumar,Tashan Action Drama Romance What happens when you throw 2 guys who hate each other together? Add for good measure a beauty and a gangster and the trouble is no one can be trusted. Akshay Kumar
1000,Anamika: The Untold Story,2008,Drama Romance Thriller,Middle-classed  slender and petite Jia Rao meets Gajner's recently widowed Kunver Vikram Aditya Singh Sesodia  both fall in love  get married  and re-locate to live in his palace in ...                    ,Dino Morea,Anamika: The Untold Story Drama Romance Thriller Middle-classed  slender and petite Jia Rao meets Gajner's recently widowed Kunver Vikram Aditya Singh Sesodia  both fall in love  get married  and re-locate to live in his palace in ...                     Dino Morea
1001,Jimmy,2008,Action Crime Drama,In the dead of the night  a young woman's dead body is recovered by the police. All leads point to Jimmy. A mechanical engineer by day and a dancing sensation by night  Jimmy works as a DJ ...                    ,Mimoh Chakraborty,Jimmy Action Crime Drama In the dead of the night  a young woman's dead body is recovered by the police. All leads point to Jimmy. A mechanical engineer by day and a dancing sensation by night  Jimmy works as a DJ ...                     Mimoh Chakraborty
1002,Jannat: In Search of Heaven...,2008,Crime Drama Romance,Arjun is a reckless young man with an obsession for making money at card games. A chance meeting with a girl in a mall  Zoya  gives him the reasons he was looking for the move out of his ...                    ,Emraan Hashmi,Jannat: In Search of Heaven... Crime Drama Romance Arjun is a reckless young man with an obsession for making money at card games. A chance meeting with a girl in a mall  Zoya  gives him the reasons he was looking for the move out of his ...                     Emraan Hashmi
1003,Don Muthu Swami,2008,Comedy Drama,Don Muthu Swami is one of Bombay's most fearsome gangsters. On his deathbed  his father forces him to make a promise: that from now on he will lead a decent life. From that moment onwards  ...                    ,Mithun Chakraborty,Don Muthu Swami Comedy Drama Don Muthu Swami is one of Bombay's most fearsome gangsters. On his deathbed  his father forces him to make a promise: that from now on he will lead a decent life. From that moment onwards  ...                     Mithun Chakraborty
1004,Woodstock Villa,2008,Drama Mystery Thriller,A businessman is distraught after refusing to follow the instructions of his wife's kidnapper.,Sikander Kher,Woodstock Villa Drama Mystery Thriller A businessman is distraught after refusing to follow the instructions of his wife's kidnapper. Sikander Kher
1005,Mere Baap Pehle Aap,2008,Comedy Drama Romance,A son reunites his widowed father to the long lost lover of the latter and urges him to marry.,Paresh Rawal,Mere Baap Pehle Aap Comedy Drama Romance A son reunites his widowed father to the long lost lover of the latter and urges him to marry. Paresh Rawal
1006,Summer 2007,2008,Crime Drama Thriller,Believing in 'beginner's luck'  Rahul Sharma  encouraged by three other fellow-medical students of Mumbai's Kasturba Medical College (Qateel  Shomindu  and Priyanka) decides to become the ...                    ,Ahraz Ahmed,Summer 2007 Crime Drama Thriller Believing in 'beginner's luck'  Rahul Sharma  encouraged by three other fellow-medical students of Mumbai's Kasturba Medical College (Qateel  Shomindu  and Priyanka) decides to become the ...                     Ahraz Ahmed
1007,De Taali,2008,Comedy Drama Romance,Paglu  Amu & Abhi live the lives of each other. They drink  eat & sleep together. Amu is a girl amongst the two guys  though Paglu & Abhi don't treat her like one. Paglu is the one who ...                    ,Aftab Shivdasani,De Taali Comedy Drama Romance Paglu  Amu & Abhi live the lives of each other. They drink  eat & sleep together. Amu is a girl amongst the two guys  though Paglu & Abhi don't treat her like one. Paglu is the one who ...                     Aftab Shivdasani
1008,Haal-e-Dil,2008,Drama Romance,While traveling by train Shekhar attempts to woo Sanjana Sharma  but finds out she had given her heart to a former boyfriend  Rohit  who is no more. Both share some misadventures en-route ...                    ,Amita Pathak,Haal-e-Dil Drama Romance While traveling by train Shekhar attempts to woo Sanjana Sharma  but finds out she had given her heart to a former boyfriend  Rohit  who is no more. Both share some misadventures en-route ...                     Amita Pathak
1009,Thodi Life Thoda Magic,2008,Drama,People in general  in order to secure the future ruin the present... They are always looking around for magic to happen someday in their lives.. Without realising that Magic exists in the ...                    ,Saahil Chadha,Thodi Life Thoda Magic Drama People in general  in order to secure the future ruin the present... They are always looking around for magic to happen someday in their lives.. Without realising that Magic exists in the ...                     Saahil Chadha
1010,Thoda Pyaar Thoda Magic,2008,Comedy Drama Family,An angel  a man and 4 orphans come together to bring you a story filled with fun  excitement  tears  love and magic.,Saif Ali Khan,Thoda Pyaar Thoda Magic Comedy Drama Family An angel  a man and 4 orphans come together to bring you a story filled with fun  excitement  tears  love and magic. Saif Ali Khan
